State ,Tribe Name                                                                            ,Casino Name                                       ,Address                                     ,Game Class Type                    ,Work Phone                            ,Work Fax                              ,Email Address
ND    ,Standing Rock Sioux Tribe of North and South Dakota                                   ,Prairie Knights Casino and Resort                 ,P.O. Box D                                  ,Fort Yates ND 58538                ,Class III                             ,701-854-7777                          ,701-854-7786                          ,apaschal@prairieknights.com
ND    ,Three Affiliated Tribes of the Fort Berthold Reservation                              ,4 Bears Casino and Lodge                          ,404 Frontage Rd.                            ,New Town ND 58763                  ,Class II & III                        ,701-627-4018                          ,701-627-3714                          ,swilson@4bearscasino.com
ND    ,Three Affiliated Tribes of the Fort Berthold Reservation                              ,American Legion Post 290                          ,404 Frontage Rd.                            ,New Town ND 58763                  ,Class II & III                        ,701-627-4409                          ,                                      ,N/A
ND    ,Three Affiliated Tribes of the Fort Berthold Reservation                              ,Sportman's Bar                                    ,404 Frontage Rd.                            ,New Town ND 58763                  ,Class II & III                        ,701-627-4409                          ,                                      ,N/A
ND    ,Three Affiliated Tribes of the Fort Berthold Reservation                              ,Scenic 23 Club                                    ,404 Frontage Rd.                            ,New Town ND 58763                  ,Class II & III                        ,701-627-4409                          ,                                      ,N/A
ND    ,Turtle Mountain Band of Chippewa Indians                                              ,Keya Radio Station                                ,P.O. Box 900                                ,4180 Highway 281                   ,Belcourt ND 58316                     ,Class II & III                        ,                                      ,                                                                                      ,keya@utma.com
ND    ,Turtle Mountain Band of Chippewa Indians                                              ,Grand Treasures Casino                            ,P.O. Box 900                                ,4180 Highway 281                   ,Belcourt ND 58316                     ,Class II                              ,701-572-2690                          ,701-224-0425                                                                          ,chris.noordsey@grandtreasurecasino.com
ND    ,Turtle Mountain Band of Chippewa Indians                                              ,Knights of Columbus (KC)                          ,P.O. Box 900                                ,4180 Highway 281                   ,Belcourt ND 58316                     ,Class II                              ,                                      ,                                                                                      ,cheryl.blue@skydancercasino.com
ND    ,Turtle Mountain Band of Chippewa Indians                                              ,LaDot's Lounge                                    ,P.O. Box 900                                ,4180 Highway 281                   ,Belcourt ND 58316                     ,Class II                              ,701-477-5686                          ,                                                                                      ,keya@utma.com
ND    ,Turtle Mountain Band of Chippewa Indians                                              ,Turtle Mountain Bingo Palace/Sprung               ,P.O. Box 900                                ,4180 Highway 281                   ,Belcourt ND 58316                     ,Class II                              ,701-278-3695                          ,                                                                                      ,hkeplin@yahoo.com
ND    ,Turtle Mountain Band of Chippewa Indians                                              ,Outdoor Recreation Development Association (ORDA) ,P.O. Box 900                                ,4180 Highway 281                   ,Belcourt ND 58316                     ,Class III                             ,701-244-0079                          ,                                                                                      ,cheryl.blue@skydancercasino.com
ND    ,Turtle Mountain Band of Chippewa Indians                                              ,Sky Dancer Hotel & Casino                         ,P.O. Box 900                                ,4180 Highway 281                   ,Belcourt ND 58316                     ,Class II & III                        ,701-244-2400                          ,701-244-2412                                                                          ,chenry@skydancercasino.com
NE    ,Omaha Tribe of Nebraska                                                               ,Lucky 77 Casino                                   ,P.O. Box 368                                ,Macy NE 68039                      ,Class II                              ,402-846-5545                          ,                                      ,N/A
NE    ,Ponca Tribe of Nebraska                                                               ,Prairie Flower Casino                             ,P.O. Box 288                                ,Niobrara NE 68760                  ,Class III                             ,                                      ,                                      ,bdouglass@prairieflowercasino.com
NE    ,Santee Sioux Nation                                                                   ,Ohiya Casino and Resort                           ,108 Spirit Lake Avenue West                 ,Niobrara NE 68760                  ,Class II                              ,                                      ,                                      ,Thelma.Thomas@ohiyacasino.com
NE    ,Winnebago Tribe of Nebraska                                                           ,Native Star Casino                                ,100 Bluff Street                            ,P.O. Box 687                       ,Winnebago NE 68071                    ,Class II                              ,                                      ,                                                                                      ,sharon@winnebagogaming.biz
NE    ,Winnebago Tribe of Nebraska                                                           ,Iron Horse Bar & Casino                           ,100 Bluff Street                            ,P.O. Box 687                       ,Winnebago NE 68071                    ,Class II                              ,                                      ,                                                                                      ,sharon@winnebagogaming.biz
NM    ,Mescalero Apache Tribe of the Mescalero Reservation                                   ,Casino Apache Travel Center                       ,P.O. Box 227                                ,Mescalero NM 88340                 ,Class II & III                        ,505-464-6960                          ,505-464-5822                          ,ffrizzell@innofthemountaingods.com
NM    ,Mescalero Apache Tribe of the Mescalero Reservation                                   ,Inn of the Mountain Gods Resort and Casino        ,P.O. Box 227                                ,Mescalero NM 88340                 ,Class II & III                        ,505-464-7777                          ,505-464-7077                          ,ffrizzell@innofthemountaingods.com
NM    ,Navajo Nation                                                                         ,Flowing Waters Navajo Casino                      ,P.O. Box 9000                               ,Window Rock AZ 86515               ,Class II                              ,                                      ,                                      ,patrickbrowne@nnge.org
NM    ,Navajo Nation                                                                         ,Northern Edge Navajo Casino                       ,P.O. Box 9000                               ,Window Rock AZ 86515               ,Class II & III                        ,505-960-7000                          ,505-960-7231                          ,patrickbrowne@nnge.org
NM    ,Navajo Nation                                                                         ,Fire Rock Navajo Casino                           ,P.O. Box 9000                               ,Window Rock AZ 86515               ,Class II & III                        ,866-441-2444                          ,                                      ,gloriawest@nnge.org
NM    ,Ohkay Owingeh                                                                         ,OHKAY Casino                                      ,P.O. Box 1099                               ,San Juan NM 87566                  ,Class III                             ,505-747-1668                          ,505-747-5692                          ,ok-casinomanagement@ohkaycasino.net
NM    ,Pueblo of Acoma                                                                       ,Sky City Casino                                   ,P.O. Box 309                                ,Acoma NM 87034                     ,Class II & III                        ,505-552-6017                          ,505-552-9826                          ,scunningham@skycity.com
NM    ,Pueblo of Acoma                                                                       ,Sky City Travel Center                            ,P.O. Box 309                                ,Acoma NM 87034                     ,Class III                             ,505-552-5699                          ,505-552-7912                          ,scunningham@skycity.com
NM    ,Pueblo of Isleta                                                                      ,Isleta Resort & Casino                            ,P.O. Box 1270                               ,Isleta NM 87022                    ,Class II & III                        ,505-724-3800                          ,505-244-8246                          ,Karl.Waitner@isleta.com
NM    ,Pueblo of Laguna                                                                      ,Rt. 66 Casino                                     ,P.O. Box 194                                ,Laguna NM 87026                    ,Class II & III                        ,505-352-7866                          ,505-352-7880                          ,info@rt66casino.com
NM    ,Pueblo of Laguna                                                                      ,Rt. 66 Casino Express                             ,P.O. Box 194                                ,Laguna NM 87026                    ,Class III                             ,                                      ,                                      ,info@rt66casino.com
NM    ,Pueblo of Laguna                                                                      ,Dancing Eagle Casino                              ,P.O. Box 194                                ,Laguna NM 87026                    ,Class II & III                        ,000-000-0000                          ,000-000-0000                          ,info@rt66casino.com
NM    ,Pueblo of Pojoaque                                                                    ,Buffalo Thunder                                   ,78 Cities of Gold Road                      ,Santa Fe NM 87506                  ,Class II & III                        ,505-455-5555                          ,                                      ,michaela@buffalothunder.com
NM    ,Pueblo of Pojoaque                                                                    ,Cities of Gold Casino                             ,78 Cities of Gold Road                      ,Santa Fe NM 87506                  ,Class II & III                        ,505-455-3102                          ,505-455-7188                          ,arpadilla@pojoaque.org
NM    ,Pueblo of San Felipe                                                                  ,Black Mesa Casino                                 ,P.O. Box 4339                               ,San Felipe NM 87001                ,Class III                             ,505-867-6700                          ,505-867-2535                          ,spenhall@sanfelipecasino.com
NM    ,Pueblo of Sandia                                                                      ,Sandia Resort and Casino                          ,481 Sandia Loop                             ,Bernalillo NM 87004                ,Class II & III                        ,800-526-9366                          ,505-796-7500                          ,NMoua@sandiacasino.com
NM    ,Pueblo of Santa Ana                                                                   ,Santa Ana Star Casino                             ,2 Dove Road                                 ,Santa Ana Pueblo NM 87004          ,Class III                             ,505-867-0000                          ,505-771-5353                          ,N/A
NM    ,Pueblo of Santa Clara                                                                 ,Santa Claran Hotel Casino                         ,P.O. Box 580                                ,Espanola NM 87532                  ,Class II & III                        ,505-367-4500                          ,505-747-4549                          ,N/A
NM    ,Pueblo of Taos                                                                        ,Taos Mountain Casino                              ,P.O. Box 1846                               ,Taos NM 87571                      ,Class III                             ,505-737-0777                          ,505-737-9521                          ,jwelty@taosmountaincasino.com
NM    ,Pueblo of Tesuque                                                                     ,Tesuque Casino                                    ,Route 42 Box 360-T                          ,Santa Fe NM 87506                  ,Class III                             ,800-462-2635                          ,                                      ,N/A
NV    ,Fort Mojave Indian Tribe                                                              ,Avi Casino                                        ,500 Merriman Avenue                         ,Needles CA 92363                   ,Class II & III                        ,702-535-5555                          ,702-535-5514                          ,lillardt@avicasino.com
NV    ,Moapa Band of Paiutes                                                                 ,Moapa Travel Center and Casino                    ,P.O. Box 340                                ,Moapa NV 89025                     ,Class III                             ,702-864-2604                          ,702-864-2603                          ,plaza.cm@moapabandofpaiutes.org
NV    ,Moapa Band of Paiutes                                                                 ,Moapa Tribal Store                                ,P.O. Box 340                                ,Moapa NV 89025                     ,Class III                             ,702-865-2758                          ,702-864-2603                          ,plaza.cm@moapabandofpaiutes.org
NV    ,Washoe Tribe of Nevada and California                                                 ,Wa She Shu Center                                 ,919 Hwy. 395 South                          ,Gardnerville NV 89410              ,Class III                             ,                                      ,                                      ,wloomis@wdcwashoe.org
NY    ,Cayuga Nation                                                                         ,Lakeside Entertainment II                         ,P.O. Box 786                                ,Seneca Falls NY 13148              ,Class II                              ,315-745-6150                          ,315-745-6149                          ,N/A
NY    ,Cayuga Nation                                                                         ,Lakeside Entertainment III (E3)                   ,P.O. Box 786                                ,Seneca Falls NY 13148              ,Class II                              ,315-221-5464                          ,                                      ,april.gilson@gocayuga.com
NY    ,Cayuga Nation                                                                         ,Lakeside Entertainment IV                         ,P.O. Box 786                                ,Seneca Falls NY 13148              ,Class II                              ,315-271-2120                          ,                                      ,Judy.shutter@gocayuga.com
NY    ,Cayuga Nation                                                                         ,Lakeside Entertainment I                          ,P.O. Box 786                                ,Seneca Falls NY 13148              ,Class II                              ,315-889-5416                          ,                                      ,N/A
NY    ,Cayuga Nation                                                                         ,Point Place Casino                                ,2037 Dream Catcher Plaza                    ,Oneida NY 13421                    ,Class III                             ,315-361-8179                          ,                                      ,jerry.marrello@pointplacecasino.com
NY    ,Cayuga Nation                                                                         ,Turning Stone Casino                              ,2037 Dream Catcher Plaza                    ,Oneida NY 13421                    ,Class II & III                        ,315-361-7711                          ,315-361-7901                          ,pcarmen@oneida-nation.org
NY    ,Cayuga Nation                                                                         ,Yellow Brick Road Casino                          ,2037 Dream Catcher Plaza                    ,Oneida NY 13421                    ,Class III                             ,315-366-9670                          ,                                      ,lynn.segars@ybrcasino.com
NY    ,Saint Regis Mohawk Tribe                                                              ,Akwesasne Mohawk Casino Resort                    ,Akwesasne Community Building                ,412 State Route 37                 ,Akwesasne NY 13655                    ,Class II & III                        ,518-358-2222                          ,518-358-9722                                                                          ,tpapineau@mohawkcasino.com
NY    ,Seneca Nation of Indians                                                              ,Seneca Gaming and Entertainment - Oil Springs     ,12837 Route 438                             ,Irving NY 14081                    ,Class II                              ,716-945-4080                          ,N/A                                   ,jamie.pierce@senecagames.net
NY    ,Seneca Nation of Indians                                                              ,Seneca Buffalo Creek Casino                       ,12837 Route 438                             ,Irving NY 14081                    ,Class III                             ,716-710-4427                          ,716-299-1200                          ,Mpapaj@senecacasinos.com
NY    ,Seneca Nation of Indians                                                              ,Seneca Gaming and Entertainment - Salamanca       ,12837 Route 438                             ,Irving NY 14081                    ,Class II                              ,716-945-4080                          ,716-945-3354                          ,jamie.pierce@senecagames.net
NY    ,Seneca Nation of Indians                                                              ,Seneca Gaming and Entertainment - Irving          ,12837 Route 438                             ,Irving NY 14081                    ,Class II                              ,716-549-4389                          ,716-945-3354                          ,todd.papineau@senecagames.net
NY    ,Seneca Nation of Indians                                                              ,Seneca Niagara Casino                             ,12837 Route 438                             ,Irving NY 14081                    ,Class II & III                        ,716-501-4181                          ,716-299-1200                          ,jisrael@senecacasinos.com
NY    ,Seneca Nation of Indians                                                              ,Seneca Allegany Casino                            ,12837 Route 438                             ,Irving NY 14081                    ,Class III                             ,716-244-5117                          ,716-945-7547                          ,lhitchcock@senecacasinos.com
OK    ,Absentee Shawnee Tribe of Indians of OK                                               ,Thunderbird Casino - Shawnee                      ,2025 S. Gordon Cooper Dr.                   ,Shawnee OK 74801                   ,Class II & III                        ,405-360-9270                          ,405-573-3211                          ,SamC@tbecinc.com
OK    ,Absentee Shawnee Tribe of Indians of OK                                               ,Thunderbird Entertainment Center                  ,2025 S. Gordon Cooper Dr.                   ,Shawnee OK 74801                   ,Class II & III                        ,405-360-9270                          ,405-360-9288                          ,SamC@tbecinc.com
OK    ,Apache Tribe of Oklahoma                                                              ,Golden Eagle Casino                               ,P.O. Box 1330                               ,Anadarko OK 73005                  ,Class II & III                        ,580-588-3630                          ,580-588-3234                          ,Mspell@goldeneaglecasino.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Casino - Fort Gibson               ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-207-3593                          ,N/A                                                                                   ,tara.vest@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Casino - Roland                    ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-427-2839                          ,918-427-6805                                                                          ,chad.mcreynolds@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Casino - Sallisaw                  ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-427-2839                          ,918-776-9086                                                                          ,tara.vest@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Casino - South Coffeyville         ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-225-4200                          ,N/A                                                                                   ,rusty.stamps@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Nation Grove Casino                ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-783-1300                          ,N/A                                                                                   ,traci.jones@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Casino Ramona                      ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-535-3800                          ,918-535-3839                                                                          ,rusty.stamps@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Casino - Tahlequah                 ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-207-3600                          ,918-453-1021                                                                          ,tara.vest@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Cherokee Casino - West Siloam Springs       ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,800-754-4111                          ,918-422-6229                                                                          ,tony.nagy@cnent.com
OK    ,Cherokee Nation                                                                       ,Oklahoma                                          ,Hard Rock Hotel & Casino                    ,P.O. Box 948                       ,Tahlequah OK 74465                    ,Class II & III                        ,918-384-7800                          ,918-266-9937                                                                          ,martin.madewell@cnent.com
OK    ,Cheyenne and Arapaho Tribes                                                           ,Oklahoma                                          ,Lucky Star Travel Center Casino - Hammon    ,100 Red Moon Circle                ,Concho OK 73022                       ,Class II & III                        ,580-473-2010                          ,N/A                                                                                   ,cwelbourne@luckystarcasino.org
OK    ,Cheyenne and Arapaho Tribes                                                           ,Oklahoma                                          ,Lucky Star Travel Center Casino - Concho    ,100 Red Moon Circle                ,Concho OK 73022                       ,Class II & III                        ,405-422-6500                          ,N/A                                                                                   ,cwelbourne@luckystarcasino.org
OK    ,Cheyenne and Arapaho Tribes                                                           ,Oklahoma                                          ,Lucky Star Casino - Clinton                 ,100 Red Moon Circle                ,Concho OK 73022                       ,Class II & III                        ,580-323-6599                          ,580-363-2627                                                                          ,cwelbourne@luckystarcasino.org
OK    ,Cheyenne and Arapaho Tribes                                                           ,Oklahoma                                          ,Lucky Star Casino - Concho                  ,100 Red Moon Circle                ,Concho OK 73022                       ,Class II & III                        ,405-262-7612                          ,405-262-4429                                                                          ,cwelbourne@luckystarcasino.org
OK    ,Cheyenne and Arapaho Tribes                                                           ,Oklahoma                                          ,Lucky Star Casino - Canton                  ,100 Red Moon Circle                ,Concho OK 73022                       ,Class II & III                        ,580-886-2494                          ,580-886-2494                                                                          ,cwelbourne@luckystarcasino.org
OK    ,Cheyenne and Arapaho Tribes                                                           ,Oklahoma                                          ,Lucky Star Casino - Watonga                 ,100 Red Moon Circle                ,Concho OK 73022                       ,Class II & III                        ,580-623-7333                          ,580-623-7334                                                                          ,cwelbourne@luckystarcasino.org
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Ada Gaming Center                           ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-436-3740                          ,405-436-4897                                                                          ,Lyle.Miller@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Chickasaw Travel Stop - Ada Gaming West     ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-310-0900                          ,580-272-5107                                                                          ,bobby.burton@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Black Gold Casino - Wilson                  ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-668-9248                          ,580-668-3512                                                                          ,charlotte.flanagan@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Chisholm Trail Casino                       ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-251-9606                          ,580-252-5147                                                                          ,tera.williams@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,West Bay Casino and Resort                  ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-564-1220                          ,N/A                                                                                   ,tiffany.brown@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Newcastle Travel Center                     ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-387-6013                          ,405-387-6053                                                                          ,Ryan.Sykes@Chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Riverstar Casino                            ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-757-9090                          ,N/A                                                                                   ,tera.williams@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Megastar Casino                             ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-564-0100                          ,580-564-0101                                                                          ,Tiffany.Brown@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Jet Stream Casino                           ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-331-2500                          ,N/A                                                                                   ,jaclyn.hull@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Chickasaw Travel Stop - Davis Gaming        ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-369-4239                          ,580-369-4242                                                                          ,christina.demoss@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Salt Creek Casino                           ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-459-4000                          ,N/A                                                                                   ,justin.yahola@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Tishomingo Tobacco Games                    ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II                              ,580-731-3373                          ,N/A                                                                                   ,Nancy.McSwain@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Artesian Casino                             ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-622-2156                          ,580-622-3094                                                                          ,justin.williams@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Winstar World Casino and Resort             ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-276-4229                          ,580-276-2597                                                                          ,Wayne.McCormick@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Chickasaw Travel Stop - Thackerville Gaming ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II                              ,580-276-4706                          ,580-276-2164                                                                          ,john.demoss@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Border Casino                               ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-276-1727                          ,405-276-9125                                                                          ,John.Demoss@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Treasure Valley Casino                      ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-369-2895                          ,580-369-2871                                                                          ,Christina.Demoss@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Washita Casino                              ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-484-7778                          ,405-484-7780                                                                          ,Brett.Hagar@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Texoma Casino                               ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-564-6000                          ,580-564-7933                                                                          ,nicky.wallace@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Madill Gaming Center                        ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-795-7301                          ,580-795-7302                                                                          ,angie.perry@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Newcastle Gaming Center                     ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-387-6013                          ,405-387-6053                                                                          ,Ryan.Sykes@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Riverwind Casino                            ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-573-4040                          ,405-573-4765                                                                          ,justin.yahola@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Goldsby Gaming Center                       ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,405-329-5447                          ,405-321-7892                                                                          ,justin.yahola@chickasaw.net
OK    ,Chickasaw Nation                                                                      ,Oklahoma                                          ,Gold Mountain Casino - Ardmore              ,P.O. Box 1548                      ,Ada OK 74821                          ,Class II & III                        ,580-223-3301                          ,580-223-5464                                                                          ,johnnyC.wilson@chickasaw.net
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino and Resort                         ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-920-0160                          ,580-920-0024                          ,jpenz@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Heavener Travel Plaza                             ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,918-653-3769                          ,N/A                                   ,ashipman@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Hugo Travel Center               ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-317-9109                          ,N/A                                   ,N/A
OK    ,Choctaw Nation of Oklahoma                                                            ,Pocola Travel Plaza                               ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,N/A                                   ,N/A                                   ,cchaser@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Idabel Travel Plaza              ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-286-2596                          ,580-286-9403                          ,amyd@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Antlers Travel Plaza             ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-298-1001                          ,580-298-1004                          ,N/A
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Grant Travel Plaza               ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-326-7595                          ,N/A                                   ,shanisg@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Stigler                          ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,918-867-8364                          ,918-967-8714                          ,cbowman@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - McAlester                        ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,918-423-8161                          ,918-423-7938                          ,ltucker@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Atoka Travel Plaza               ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-364-0056                          ,580-364-0057                          ,slance@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Poteau Travel Plaza              ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,918-649-0273                          ,918-649-0534                          ,ashipman@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Stringtown Travel Plaza          ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-346-7478                          ,N/A                                   ,slance@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Wilburton Travel Plaza           ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,918-465-9675                          ,918-465-0304                          ,branderson@choctawnation.com
OK    ,Choctaw Nation of Oklahoma                                                            ,Choctaw Casino - Broken Bow Travel Plaza          ,P.O. Drawer 1210                            ,Durant OK 74702                    ,Class II & III                        ,580-584-5528                          ,580-584-5427                          ,amyd@choctawnation.com
